Constellation,Satellites,Lead Region
Astra,13620,United States
BlueWalker,243,United States
Cinnamon-937,337323,Rwanda
Flock,150,United States
Globalstar,3080,United States
Guowang,12992,China
Hanwha,2000,South Korea
Honghu-3,10000,China
HVNET,1440,United States
KLEO,300,Europe
Kuiper,3232,United States
Lacuna,240,Europe
Lightspeed,300,Canada
Lynk,2000,United States
Omni,200,United States
OneWeb,7088,Europe
Rassvet,900,Russia
Semaphore-C,116640,Europe
SferaCon,640,Russia
Starlink (Gen2),39396,United States
Swarm,150,United States
Xingshidai,200,China
Xingwang,966,China
Yinhe,1000,China
