Constellation,Launch Event,Launcher Production,Electronics Production,Launcher Transportation,Electricity Consumption,Propulsion System
Astra,"3,930,130,763","59,325,876","5,207,517","1,644,180,054","26,398,024","41,644,512"
BlueWalker,"70,407,629","1,062,813","93,292","29,455,208","472,916","3,980,340"
Cinnamon-937,"48,668,407,844","734,656,449","64,486,799","20,360,550,386","326,897,467","36,835,672"
Flock,"2,308,447","34,846","3,059","965,745","15,505","8,190"
Globalstar,"1,777,504,075","26,831,674","2,355,235","743,623,284","11,939,194","23,543,520"
Guowang,"100,767,264","150,580,890","13,217,715","24,960,020","67,003,443","26,955,802"
Hanwha,"42,625,746","63,697,500","5,591,250","10,558,384","28,343,250","6,115,200"
Honghu-3,"852,514,924","1,273,950,000","111,825,000","211,167,684","566,865,000","5,460,000"
HVNET,"237,722,237","3,074,509","269,875","98,640,322","1,368,053","4,402,944"
KLEO,"25,575,448","38,218,500","3,354,750","6,335,031","17,005,950","262,080"
Kuiper,"43,994,824","48,388,018","4,247,412","31,665,540","21,531,044","22,940,736"
Lacuna,"31,681,992","41,038,176","3,602,256","653,476","18,260,611","26,208"
Lightspeed,"9,810,899","148,097","13,000","4,104,414","65,898","2,457,000"
Lynk,"115,422,343","1,742,316","152,937","48,287,226","775,272","546,000"
Omni,"11,542,234","174,232","15,294","4,828,723","77,527","10,920"
OneWeb,"255,660,489","3,859,231","338,756","106,956,206","1,717,228","11,610,144"
Rassvet,"79,204,979","102,595,440","9,005,640","1,633,690","45,651,528","2,751,840"
Semaphore-C,"16,828,577,542","254,029,741","22,298,266","7,040,277,588","113,034,710","12,737,088"
SferaCon,"56,499,552","73,184,747","6,424,023","1,165,365","32,564,757","1,397,760"
Starlink (Gen2),"3,571,363,962","27,227,525","5,790,364",0,"1,329,500","111,853,123"
Swarm,"7,502,452","113,251","9,941","3,138,670","50,393","773,136"
Xingshidai,"4,262,575","6,369,750","559,125","1,055,838","2,834,325","54,600"
Xingwang,"54,901,961","82,042,380","7,201,530","13,599,199","36,506,106","2,953,642"
Yinhe,"28,473,998","42,549,930","3,734,955","7,053,001","18,933,291","2,478,840"
