Constellation,Size,Emissions,,,,
Astra,"13,620",5706.8,,,,
BlueWalker,243,105.6,,,,
Flock,150,3.3,,,,
Globalstar,"3,080",2585.7,,,,
Guowang,"12,992",383.6,,,,
Hanwha,"2,000",156.9,,,,
Honghu-3,"10,000",3021.9,,,,
HVNET,"1,440",345.5,,,,
KLEO,300,90.8,,,,
Kuiper,"3,232",172.8,,,,
Lacuna,240,95.3,,,,
Lightspeed,300,16.7,,,,
Lynk,"2,000",167,,,,
Omni,200,16.6,,,,
OneWeb,"7,088",380.2,,,,
Rassvet,900,240.9,,,,
SferaCon,640,171.3,,,,
Starlink (Gen2),"39,396",3717.6,,,,
Swarm,150,11.6,,,,
Xingshidai,200,15.3,,,,
Xingwang,966,197.2,,,,
Yinhe,"1,000",103.3,,,,
